Rainfall,Year,Month,ISO3
4.12368,2005,Sep,AFG
6.20864,2005,Oct,AFG
15.9667,2005,Nov,AFG
6.40713,2005,Dec,AFG
58.4091,2006,Jan,AFG
37.0712,2006,Feb,AFG
44.6099,2006,Mar,AFG
25.9767,2006,Apr,AFG
8.6857,2006,May,AFG
6.10029,2006,Jun,AFG
9.32455,2006,Jul,AFG
13.7964,2006,Aug,AFG
4.10366,2006,Sep,AFG
11.0719,2006,Oct,AFG
46.4695,2006,Nov,AFG
59.8266,2006,Dec,AFG
20.2476,2007,Jan,AFG
80.2155,2007,Feb,AFG
90.4853,2007,Mar,AFG
22.7637,2007,Apr,AFG
14.9475,2007,May,AFG
10.2931,2007,Jun,AFG
11.0242,2007,Jul,AFG
6.0282,2007,Aug,AFG
4.60324,2007,Sep,AFG
1.27345,2007,Oct,AFG
6.81448,2007,Nov,AFG
35.2599,2007,Dec,AFG
71.5091,2008,Jan,AFG
27.3918,2008,Feb,AFG
9.29818,2008,Mar,AFG
40.3293,2008,Apr,AFG
11.9907,2008,May,AFG
6.6884,2008,Jun,AFG
17.11,2008,Jul,AFG
20.085,2008,Aug,AFG
4.45832,2008,Sep,AFG
7.58035,2008,Oct,AFG
8.07553,2008,Nov,AFG
33.5477,2008,Dec,AFG
55.2724,2009,Jan,AFG
65.3152,2009,Feb,AFG
50.9169,2009,Mar,AFG
82.9174,2009,Apr,AFG
25.8133,2009,May,AFG
12.8482,2009,Jun,AFG
5.43757,2009,Jul,AFG
4.89936,2009,Aug,AFG
2.20095,2009,Sep,AFG
5.32764,2009,Oct,AFG
17.1938,2009,Nov,AFG
45.135,2009,Dec,AFG
26.7077,2010,Jan,AFG
64.6666,2010,Feb,AFG
39.4925,2010,Mar,AFG
27.0613,2010,Apr,AFG
37.1512,2010,May,AFG
13.1362,2010,Jun,AFG
21.7761,2010,Jul,AFG
17.4577,2010,Aug,AFG
6.12541,2010,Sep,AFG
5.24335,2010,Oct,AFG
6.47983,2010,Nov,AFG
4.12688,2010,Dec,AFG
20.8792,2011,Jan,AFG
97.3466,2011,Feb,AFG
51.6369,2011,Mar,AFG
40.0256,2011,Apr,AFG
17.4269,2011,May,AFG
5.04623,2011,Jun,AFG
5.96836,2011,Jul,AFG
11.3091,2011,Aug,AFG
4.36918,2011,Sep,AFG
15.9706,2011,Oct,AFG
29.6794,2011,Nov,AFG
6.80333,2011,Dec,AFG
45.338,2012,Jan,AFG
67.2547,2012,Feb,AFG
49.6125,2012,Mar,AFG
70.6528,2012,Apr,AFG
32.982,2012,May,AFG
3.59206,2012,Jun,AFG
6.62499,2012,Jul,AFG
9.22998,2012,Aug,AFG
7.45481,2012,Sep,AFG
11.5375,2012,Oct,AFG
24.4124,2012,Nov,AFG
49.6373,2012,Dec,AFG
