Rainfall,Year,Month,ISO3
81.516,1931,Jan,AFG
73.8971,1931,Feb,AFG
30.3644,1931,Mar,AFG
49.8649,1931,Apr,AFG
46.3441,1931,May,AFG
11.7684,1931,Jun,AFG
10.2598,1931,Jul,AFG
2.67202,1931,Aug,AFG
2.10933,1931,Sep,AFG
11.7163,1931,Oct,AFG
33.5984,1931,Nov,AFG
41.4348,1931,Dec,AFG
76.2694,1932,Jan,AFG
23.0718,1932,Feb,AFG
78.6606,1932,Mar,AFG
26.7844,1932,Apr,AFG
17.7512,1932,May,AFG
5.46912,1932,Jun,AFG
15.7712,1932,Jul,AFG
11.5176,1932,Aug,AFG
1.16887,1932,Sep,AFG
7.79287,1932,Oct,AFG
5.30547,1932,Nov,AFG
23.5836,1932,Dec,AFG
46.7137,1933,Jan,AFG
39.3253,1933,Feb,AFG
91.4004,1933,Mar,AFG
51.0452,1933,Apr,AFG
20.0575,1933,May,AFG
7.8143,1933,Jun,AFG
7.9147,1933,Jul,AFG
14.4373,1933,Aug,AFG
4.75614,1933,Sep,AFG
2.25805,1933,Oct,AFG
13.0747,1933,Nov,AFG
52.9919,1933,Dec,AFG
37.6082,1934,Jan,AFG
46.7267,1934,Feb,AFG
47.4725,1934,Mar,AFG
83.0148,1934,Apr,AFG
48.078,1934,May,AFG
4.81975,1934,Jun,AFG
0.99536,1934,Jul,AFG
8.59318,1934,Aug,AFG
3.8935,1934,Sep,AFG
3.67833,1934,Oct,AFG
5.68044,1934,Nov,AFG
41.0214,1934,Dec,AFG
61.6351,1935,Jan,AFG
80.2005,1935,Feb,AFG
37.9683,1935,Mar,AFG
61.1704,1935,Apr,AFG
15.1064,1935,May,AFG
13.0977,1935,Jun,AFG
4.98352,1935,Jul,AFG
7.53432,1935,Aug,AFG
2.66205,1935,Sep,AFG
10.7244,1935,Oct,AFG
33.9639,1935,Nov,AFG
9.87502,1935,Dec,AFG
19.7755,1936,Jan,AFG
71.0944,1936,Feb,AFG
57.6215,1936,Mar,AFG
53.0364,1936,Apr,AFG
25.3499,1936,May,AFG
3.7286,1936,Jun,AFG
1.4253,1936,Jul,AFG
3.29485,1936,Aug,AFG
3.51566,1936,Sep,AFG
9.88174,1936,Oct,AFG
13.2423,1936,Nov,AFG
36.8966,1936,Dec,AFG
40.1228,1937,Jan,AFG
69.9211,1937,Feb,AFG
56.3031,1937,Mar,AFG
70.8844,1937,Apr,AFG
24.7586,1937,May,AFG
0.73901,1937,Jun,AFG
9.20681,1937,Jul,AFG
0.14206,1937,Aug,AFG
2.49889,1937,Sep,AFG
12.8825,1937,Oct,AFG
5.49537,1937,Nov,AFG
25.2455,1937,Dec,AFG
94.82,1938,Jan,AFG
56.1294,1938,Feb,AFG
64.5296,1938,Mar,AFG
33.3143,1938,Apr,AFG
3.42007,1938,May,AFG
6.37576,1938,Jun,AFG
8.37999,1938,Jul,AFG
6.04895,1938,Aug,AFG
1.48021,1938,Sep,AFG
0.94782,1938,Oct,AFG
16.2251,1938,Nov,AFG
29.6089,1938,Dec,AFG
56.8361,1939,Jan,AFG
107.854,1939,Feb,AFG
98.3693,1939,Mar,AFG
62.4233,1939,Apr,AFG
15.131,1939,May,AFG
1.49615,1939,Jun,AFG
4.16198,1939,Jul,AFG
1.81495,1939,Aug,AFG
0.22185,1939,Sep,AFG
11.9881,1939,Oct,AFG
9.15457,1939,Nov,AFG
21.591,1939,Dec,AFG
66.9055,1940,Jan,AFG
47.668,1940,Feb,AFG
55.8901,1940,Mar,AFG
25.9141,1940,Apr,AFG
21.4932,1940,May,AFG
9.35203,1940,Jun,AFG
2.09616,1940,Jul,AFG
2.90586,1940,Aug,AFG
3.4639,1940,Sep,AFG
18.7416,1940,Oct,AFG
10.2066,1940,Nov,AFG
24.6239,1940,Dec,AFG
41.6011,1941,Jan,AFG
43.5247,1941,Feb,AFG
53.3134,1941,Mar,AFG
81.2875,1941,Apr,AFG
11.5055,1941,May,AFG
1.26849,1941,Jun,AFG
2.62632,1941,Jul,AFG
3.56733,1941,Aug,AFG
2.68336,1941,Sep,AFG
2.0286,1941,Oct,AFG
6.94949,1941,Nov,AFG
