Rainfall,Year,Month,ISO3
55.7448,1901,Jan,AFG
13.948,1901,Feb,AFG
43.8464,1901,Mar,AFG
26.961,1901,Apr,AFG
52.9579,1901,May,AFG
16.6465,1901,Jun,AFG
7.38656,1901,Jul,AFG
0.59306,1901,Aug,AFG
4.82593,1901,Sep,AFG
11.4972,1901,Oct,AFG
8.61022,1901,Nov,AFG
7.90607,1901,Dec,AFG
24.1121,1902,Jan,AFG
20.8288,1902,Feb,AFG
41.8576,1902,Mar,AFG
29.9279,1902,Apr,AFG
8.98336,1902,May,AFG
5.35169,1902,Jun,AFG
3.15428,1902,Jul,AFG
1.11072,1902,Aug,AFG
2.2639,1902,Sep,AFG
19.8042,1902,Oct,AFG
43.1489,1902,Nov,AFG
18.7537,1902,Dec,AFG
49.3334,1903,Jan,AFG
45.6953,1903,Feb,AFG
69.7291,1903,Mar,AFG
33.0954,1903,Apr,AFG
60.6917,1903,May,AFG
7.62944,1903,Jun,AFG
5.63623,1903,Jul,AFG
4.65012,1903,Aug,AFG
7.45214,1903,Sep,AFG
0.8791,1903,Oct,AFG
9.91327,1903,Nov,AFG
19.8138,1903,Dec,AFG
67.9221,1904,Jan,AFG
23.6132,1904,Feb,AFG
80.0829,1904,Mar,AFG
26.0583,1904,Apr,AFG
29.9485,1904,May,AFG
0.65549,1904,Jun,AFG
3.95575,1904,Jul,AFG
3.1932,1904,Aug,AFG
10.454,1904,Sep,AFG
16.7642,1904,Oct,AFG
17.9043,1904,Nov,AFG
18.2342,1904,Dec,AFG
65.5861,1905,Jan,AFG
32.616,1905,Feb,AFG
64.7628,1905,Mar,AFG
27.6942,1905,Apr,AFG
19.1447,1905,May,AFG
5.04219,1905,Jun,AFG
1.58474,1905,Jul,AFG
1.03713,1905,Aug,AFG
6.96228,1905,Sep,AFG
1.07818,1905,Oct,AFG
3.42445,1905,Nov,AFG
41.2052,1905,Dec,AFG
21.4617,1906,Jan,AFG
96.1208,1906,Feb,AFG
51.8554,1906,Mar,AFG
43.2336,1906,Apr,AFG
18.4308,1906,May,AFG
4.62089,1906,Jun,AFG
4.62117,1906,Jul,AFG
5.87336,1906,Aug,AFG
3.08521,1906,Sep,AFG
3.47906,1906,Oct,AFG
5.81417,1906,Nov,AFG
33.0802,1906,Dec,AFG
51.3601,1907,Jan,AFG
49.8828,1907,Feb,AFG
41.55,1907,Mar,AFG
56.4171,1907,Apr,AFG
32.2363,1907,May,AFG
13.1965,1907,Jun,AFG
6.88764,1907,Jul,AFG
4.17896,1907,Aug,AFG
3.42643,1907,Sep,AFG
14.6192,1907,Oct,AFG
7.99659,1907,Nov,AFG
4.84096,1907,Dec,AFG
80.3858,1908,Jan,AFG
37.6062,1908,Feb,AFG
48.7997,1908,Mar,AFG
79.586,1908,Apr,AFG
13.8888,1908,May,AFG
4.17761,1908,Jun,AFG
9.28017,1908,Jul,AFG
7.96612,1908,Aug,AFG
6.8751,1908,Sep,AFG
2.85977,1908,Oct,AFG
1.30171,1908,Nov,AFG
39.3343,1908,Dec,AFG
33.3713,1909,Jan,AFG
57.0135,1909,Feb,AFG
47.2142,1909,Mar,AFG
63.6401,1909,Apr,AFG
24.3855,1909,May,AFG
6.6878,1909,Jun,AFG
14.8759,1909,Jul,AFG
1.54623,1909,Aug,AFG
3.40075,1909,Sep,AFG
5.32157,1909,Oct,AFG
3.92673,1909,Nov,AFG
40.6712,1909,Dec,AFG
84.1007,1910,Jan,AFG
33.0929,1910,Feb,AFG
59.604,1910,Mar,AFG
33.4674,1910,Apr,AFG
17.443,1910,May,AFG
4.64161,1910,Jun,AFG
15.9478,1910,Jul,AFG
19.3898,1910,Aug,AFG
0.98545,1910,Sep,AFG
1.54956,1910,Oct,AFG
1.60143,1910,Nov,AFG
20.7147,1910,Dec,AFG
81.7582,1911,Jan,AFG
33.2795,1911,Feb,AFG
93.9092,1911,Mar,AFG
30.6049,1911,Apr,AFG
29.269,1911,May,AFG
1.66792,1911,Jun,AFG
0.85061,1911,Jul,AFG
0.52687,1911,Aug,AFG
1.27605,1911,Sep,AFG
5.76539,1911,Oct,AFG
13.1378,1911,Nov,AFG
19.3229,1911,Dec,AFG
66.017,1912,Jan,AFG
33.4554,1912,Feb,AFG
48.7584,1912,Mar,AFG
53.7615,1912,Apr,AFG
22.857,1912,May,AFG
6.87415,1912,Jun,AFG
4.774,1912,Jul,AFG
5.99133,1912,Aug,AFG
9.66359,1912,Sep,AFG
4.73237,1912,Oct,AFG
6.10278,1912,Nov,AFG
38.3154,1912,Dec,AFG
33.331,1913,Jan,AFG
49.2776,1913,Feb,AFG
29.8131,1913,Mar,AFG
35.2728,1913,Apr,AFG
15.9955,1913,May,AFG
5.64514,1913,Jun,AFG
2.79316,1913,Jul,AFG
5.7752,1913,Aug,AFG
4.07352,1913,Sep,AFG
18.5193,1913,Oct,AFG
18.4011,1913,Nov,AFG
52.3384,1913,Dec,AFG
36.0808,1914,Jan,AFG
64.9747,1914,Feb,AFG
57.3971,1914,Mar,AFG
70.8684,1914,Apr,AFG
12.2636,1914,May,AFG
12.6816,1914,Jun,AFG
20.7016,1914,Jul,AFG
3.5196,1914,Aug,AFG
7.92802,1914,Sep,AFG
32.8543,1914,Oct,AFG
47.0632,1914,Nov,AFG
16.8143,1914,Dec,AFG
2.35124,1915,Jan,AFG
48.8026,1915,Feb,AFG
49.0669,1915,Mar,AFG
122.319,1915,Apr,AFG
5.62109,1915,May,AFG
4.82275,1915,Jun,AFG
7.50787,1915,Jul,AFG
0.6063,1915,Aug,AFG
3.33097,1915,Sep,AFG
3.878,1915,Oct,AFG
1.90754,1915,Nov,AFG
14.1418,1915,Dec,AFG
60.8339,1916,Jan,AFG
29.4013,1916,Feb,AFG
63.7392,1916,Mar,AFG
79.5083,1916,Apr,AFG
24.6421,1916,May,AFG
5.16555,1916,Jun,AFG
3.00767,1916,Jul,AFG
30.4777,1916,Aug,AFG
3.70389,1916,Sep,AFG
1.65727,1916,Oct,AFG
0.53176,1916,Nov,AFG
3.84999,1916,Dec,AFG
28.4949,1917,Jan,AFG
19.6124,1917,Feb,AFG
49.1161,1917,Mar,AFG
4.05525,1917,Apr,AFG
9.60672,1917,May,AFG
2.89983,1917,Jun,AFG
1.36646,1917,Jul,AFG
15.1365,1917,Aug,AFG
12.629,1917,Sep,AFG
4.46263,1917,Oct,AFG
0.90427,1917,Nov,AFG
16.8932,1917,Dec,AFG
23.3096,1918,Jan,AFG
39.1442,1918,Feb,AFG
94.1561,1918,Mar,AFG
42.2803,1918,Apr,AFG
7.55001,1918,May,AFG
7.08868,1918,Jun,AFG
1.83434,1918,Jul,AFG
1.97433,1918,Aug,AFG
3.97755,1918,Sep,AFG
4.25768,1918,Oct,AFG
11.5448,1918,Nov,AFG
44.172,1918,Dec,AFG
48.8961,1919,Jan,AFG
42.0995,1919,Feb,AFG
49.3627,1919,Mar,AFG
36.5233,1919,Apr,AFG
18.204,1919,May,AFG
1.65191,1919,Jun,AFG
5.18731,1919,Jul,AFG
17.3509,1919,Aug,AFG
2.49563,1919,Sep,AFG
1.8505,1919,Oct,AFG
3.57049,1919,Nov,AFG
75.2222,1919,Dec,AFG
66.7623,1920,Jan,AFG
50.6026,1920,Feb,AFG
65.4392,1920,Mar,AFG
35.9958,1920,Apr,AFG
20.5726,1920,May,AFG
5.23054,1920,Jun,AFG
1.92316,1920,Jul,AFG
1.04309,1920,Aug,AFG
3.41758,1920,Sep,AFG
5.193,1920,Oct,AFG
14.5488,1920,Nov,AFG
13.2254,1920,Dec,AFG
21.5299,1921,Jan,AFG
22.8465,1921,Feb,AFG
45.5412,1921,Mar,AFG
37.7969,1921,Apr,AFG
9.29067,1921,May,AFG
5.08164,1921,Jun,AFG
5.55215,1921,Jul,AFG
12.3174,1921,Aug,AFG
0.54273,1921,Sep,AFG
7.64369,1921,Oct,AFG
14.6059,1921,Nov,AFG
67.8731,1921,Dec,AFG
38.8563,1922,Jan,AFG
78.2993,1922,Feb,AFG
53.9466,1922,Mar,AFG
17.7391,1922,Apr,AFG
32.4333,1922,May,AFG
6.66615,1922,Jun,AFG
5.86797,1922,Jul,AFG
7.20743,1922,Aug,AFG
8.00064,1922,Sep,AFG
7.22036,1922,Oct,AFG
6.30062,1922,Nov,AFG
24.9874,1922,Dec,AFG
57.6665,1923,Jan,AFG
69.3017,1923,Feb,AFG
65.558,1923,Mar,AFG
57.279,1923,Apr,AFG
25.7053,1923,May,AFG
2.91109,1923,Jun,AFG
1.80774,1923,Jul,AFG
15.2484,1923,Aug,AFG
3.43594,1923,Sep,AFG
23.5604,1923,Oct,AFG
3.29739,1923,Nov,AFG
8.9824,1923,Dec,AFG
47.5914,1924,Jan,AFG
87.0205,1924,Feb,AFG
42.8792,1924,Mar,AFG
89.1158,1924,Apr,AFG
49.5405,1924,May,AFG
2.30413,1924,Jun,AFG
6.69258,1924,Jul,AFG
1.87248,1924,Aug,AFG
12.6671,1924,Sep,AFG
3.2392,1924,Oct,AFG
10.2338,1924,Nov,AFG
71.1498,1924,Dec,AFG
28.7752,1925,Jan,AFG
28.7694,1925,Feb,AFG
23.85,1925,Mar,AFG
22.9276,1925,Apr,AFG
30.0979,1925,May,AFG
0.46297,1925,Jun,AFG
11.746,1925,Jul,AFG
4.88045,1925,Aug,AFG
7.22729,1925,Sep,AFG
29.7706,1925,Oct,AFG
17.1549,1925,Nov,AFG
1.49003,1925,Dec,AFG
40.4897,1926,Jan,AFG
48.8849,1926,Feb,AFG
83.5702,1926,Mar,AFG
63.6852,1926,Apr,AFG
15.5987,1926,May,AFG
7.07444,1926,Jun,AFG
2.52629,1926,Jul,AFG
8.29221,1926,Aug,AFG
8.73332,1926,Sep,AFG
0.83535,1926,Oct,AFG
7.55979,1926,Nov,AFG
31.0424,1926,Dec,AFG
25.4298,1927,Jan,AFG
34.5865,1927,Feb,AFG
33.6382,1927,Mar,AFG
32.1606,1927,Apr,AFG
10.9333,1927,May,AFG
1.36323,1927,Jun,AFG
6.16305,1927,Jul,AFG
2.06645,1927,Aug,AFG
4.048,1927,Sep,AFG
0.64995,1927,Oct,AFG
8.16019,1927,Nov,AFG
62.8017,1927,Dec,AFG
41.0423,1928,Jan,AFG
55.5036,1928,Feb,AFG
45.5559,1928,Mar,AFG
24.2839,1928,Apr,AFG
10.1035,1928,May,AFG
3.14576,1928,Jun,AFG
2.50666,1928,Jul,AFG
3.14453,1928,Aug,AFG
2.53167,1928,Sep,AFG
0.71355,1928,Oct,AFG
16.4335,1928,Nov,AFG
45.1833,1928,Dec,AFG
42.5451,1929,Jan,AFG
79.7581,1929,Feb,AFG
28.9658,1929,Mar,AFG
20.2878,1929,Apr,AFG
8.85808,1929,May,AFG
3.23088,1929,Jun,AFG
28.5373,1929,Jul,AFG
10.759,1929,Aug,AFG
0.44239,1929,Sep,AFG
3.86201,1929,Oct,AFG
8.90689,1929,Nov,AFG
32.916,1929,Dec,AFG
50.1692,1930,Jan,AFG
47.6169,1930,Feb,AFG
38.3516,1930,Mar,AFG
