Rainfall,Year,Month,ISO3
45.6999,1961,Jan,AFG
36.3156,1961,Feb,AFG
67.186,1961,Mar,AFG
83.5753,1961,Apr,AFG
20.042,1961,May,AFG
6.23485,1961,Jun,AFG
11.278,1961,Jul,AFG
7.07352,1961,Aug,AFG
3.23567,1961,Sep,AFG
5.44779,1961,Oct,AFG
29.4008,1961,Nov,AFG
24.034,1961,Dec,AFG
14.1697,1962,Jan,AFG
34.7725,1962,Feb,AFG
47.4306,1962,Mar,AFG
54.6099,1962,Apr,AFG
24.1415,1962,May,AFG
6.51486,1962,Jun,AFG
5.46194,1962,Jul,AFG
5.11733,1962,Aug,AFG
2.29556,1962,Sep,AFG
8.87976,1962,Oct,AFG
15.0474,1962,Nov,AFG
26.2709,1962,Dec,AFG
5.84007,1963,Jan,AFG
44.8966,1963,Feb,AFG
58.7311,1963,Mar,AFG
71.9117,1963,Apr,AFG
70.4776,1963,May,AFG
4.46068,1963,Jun,AFG
5.46345,1963,Jul,AFG
3.47734,1963,Aug,AFG
2.10516,1963,Sep,AFG
6.23654,1963,Oct,AFG
27.4944,1963,Nov,AFG
27.8644,1963,Dec,AFG
55.7747,1964,Jan,AFG
70.419,1964,Feb,AFG
61.252,1964,Mar,AFG
58.9231,1964,Apr,AFG
15.6237,1964,May,AFG
2.76395,1964,Jun,AFG
17.208,1964,Jul,AFG
5.85854,1964,Aug,AFG
2.79432,1964,Sep,AFG
2.86966,1964,Oct,AFG
10.9069,1964,Nov,AFG
16.3184,1964,Dec,AFG
70.5854,1965,Jan,AFG
50.6417,1965,Feb,AFG
33.8604,1965,Mar,AFG
83.4531,1965,Apr,AFG
38.471,1965,May,AFG
2.66484,1965,Jun,AFG
17.9831,1965,Jul,AFG
8.97844,1965,Aug,AFG
2.45922,1965,Sep,AFG
6.38073,1965,Oct,AFG
27.0313,1965,Nov,AFG
20.0104,1965,Dec,AFG
8.68127,1966,Jan,AFG
73.4805,1966,Feb,AFG
68.0135,1966,Mar,AFG
62.0434,1966,Apr,AFG
11.1561,1966,May,AFG
1.84159,1966,Jun,AFG
5.94204,1966,Jul,AFG
7.59218,1966,Aug,AFG
4.98534,1966,Sep,AFG
21.818,1966,Oct,AFG
1.74421,1966,Nov,AFG
10.8545,1966,Dec,AFG
17.9658,1967,Jan,AFG
72.6506,1967,Feb,AFG
61.9184,1967,Mar,AFG
77.2726,1967,Apr,AFG
22.6761,1967,May,AFG
7.80402,1967,Jun,AFG
8.88312,1967,Jul,AFG
3.80216,1967,Aug,AFG
3.99917,1967,Sep,AFG
27.9916,1967,Oct,AFG
15.6206,1967,Nov,AFG
44.3801,1967,Dec,AFG
38.7461,1968,Jan,AFG
50.002,1968,Feb,AFG
53.0566,1968,Mar,AFG
55.8752,1968,Apr,AFG
32.7206,1968,May,AFG
3.13324,1968,Jun,AFG
4.45612,1968,Jul,AFG
5.65883,1968,Aug,AFG
0.50692,1968,Sep,AFG
9.85433,1968,Oct,AFG
12.7998,1968,Nov,AFG
73.8346,1968,Dec,AFG
59.1147,1969,Jan,AFG
36.2727,1969,Feb,AFG
57.7518,1969,Mar,AFG
67.2279,1969,Apr,AFG
40.3836,1969,May,AFG
8.35579,1969,Jun,AFG
11.11,1969,Jul,AFG
2.89568,1969,Aug,AFG
2.82349,1969,Sep,AFG
20.2572,1969,Oct,AFG
29.271,1969,Nov,AFG
10.1182,1969,Dec,AFG
56.5905,1970,Jan,AFG
21.6063,1970,Feb,AFG
63.3983,1970,Mar,AFG
26.2745,1970,Apr,AFG
8.73092,1970,May,AFG
2.91018,1970,Jun,AFG
11.8979,1970,Jul,AFG
7.70175,1970,Aug,AFG
7.73748,1970,Sep,AFG
3.54449,1970,Oct,AFG
3.16923,1970,Nov,AFG
15.5031,1970,Dec,AFG
11.1445,1971,Jan,AFG
40.599,1971,Feb,AFG
40.4269,1971,Mar,AFG
30.1217,1971,Apr,AFG
7.64149,1971,May,AFG
3.45896,1971,Jun,AFG
5.98444,1971,Jul,AFG
3.86958,1971,Aug,AFG
10.9051,1971,Sep,AFG
2.25707,1971,Oct,AFG
10.6084,1971,Nov,AFG
18.1826,1971,Dec,AFG
75.5523,1972,Jan,AFG
45.2468,1972,Feb,AFG
90.3524,1972,Mar,AFG
50.1083,1972,Apr,AFG
41.4901,1972,May,AFG
10.7987,1972,Jun,AFG
6.53292,1972,Jul,AFG
2.778,1972,Aug,AFG
4.77673,1972,Sep,AFG
5.68214,1972,Oct,AFG
17.6139,1972,Nov,AFG
51.0976,1972,Dec,AFG
32.9926,1973,Jan,AFG
48.04,1973,Feb,AFG
77.8935,1973,Mar,AFG
39.5368,1973,Apr,AFG
17.04,1973,May,AFG
1.00658,1973,Jun,AFG
13.4236,1973,Jul,AFG
3.28451,1973,Aug,AFG
7.43433,1973,Sep,AFG
1.70489,1973,Oct,AFG
2.55751,1973,Nov,AFG
19.0754,1973,Dec,AFG
65.812,1974,Jan,AFG
65.9808,1974,Feb,AFG
34.5838,1974,Mar,AFG
42.9264,1974,Apr,AFG
17.4523,1974,May,AFG
4.27253,1974,Jun,AFG
4.53182,1974,Jul,AFG
5.12411,1974,Aug,AFG
5.00808,1974,Sep,AFG
0.65106,1974,Oct,AFG
3.94478,1974,Nov,AFG
43.9922,1974,Dec,AFG
52.6635,1975,Jan,AFG
43.6377,1975,Feb,AFG
57.9028,1975,Mar,AFG
57.3642,1975,Apr,AFG
30.9983,1975,May,AFG
4.51833,1975,Jun,AFG
7.50024,1975,Jul,AFG
10.6468,1975,Aug,AFG
3.35067,1975,Sep,AFG
5.7013,1975,Oct,AFG
16.5874,1975,Nov,AFG
29.1012,1975,Dec,AFG
38.1711,1976,Jan,AFG
88.2512,1976,Feb,AFG
92.7221,1976,Mar,AFG
69.4147,1976,Apr,AFG
19.0391,1976,May,AFG
3.81541,1976,Jun,AFG
9.79906,1976,Jul,AFG
8.24522,1976,Aug,AFG
